created_at;text;user;quote_count;reply_count;retweet_count;favorite_count;lang
2020-08-10 13:21:13+00:00;Even while the Canadian economy has lost 1.3 million jobs since the COVID-19 pandemic struck, prices for detached h… https://t.co/8smYhfdJyM;Goldberg, Lamba & Ghannoum LLP;0;0;0;0;en
2020-08-10 13:10:06+00:00;CMHC: Toronto and Vancouver Real Estate Delinquencies Rise, While The Rest of Canada Falls - https://t.co/TzogoWWK8F https://t.co/YptO6Zgl27;Ottawa Book Expo;0;0;0;0;en
2020-08-10 13:05:45+00:00;The Greater Toronto Area’s housing market seems almost immune to the crippling economic effects of COVID-19 right n… https://t.co/Oijtvyntxy;EveDube_Realtor;0;0;0;0;en
2020-08-10 13:05:11+00:00;The Greater Toronto Area’s housing market seems almost immune to the crippling economic effects of COVID-19 right n… https://t.co/1ZdbZ3GUV8;Elizabeth Cabradilla REALTOR;0;0;0;0;en
2020-08-10 13:03:03+00:00;Cloverdale Mall, one of the city's oldest malls will be no more. The area will now be home to more #condo towers.… https://t.co/DJrIzyY7SC;Monika Dudek;0;0;0;0;en
2020-08-10 13:02:49+00:00;"Houses are selling like ""hot cakes""! Get information about the current Toronto real estate market from my monthly u… https://t.co/UkSAAT1Ip1";Jag Dhillon Broker Royal LePage;0;0;0;0;en
2020-08-10 12:56:10+00:00;Check out our new listing at https://t.co/djHWbHCKJq #RealEstate #Toronto https://t.co/jXDbOOJ1sz;Century 21 Heritage;0;0;0;1;en
2020-08-10 12:51:05+00:00;RT @FishSauce: In case you’re wondering what Toronto real estate is up to these days, this house is going for $1 million. https://t.co/6zgI…;Prabal Majumdar;0;0;0;0;en
2020-08-10 12:46:10+00:00;RT @LizSimmie: A prime Toronto house purchased for 100k in the late 70s and worth $2mil today only returned 5% annualized BEFORE fees and i…;Osaka Overtures;0;0;0;0;en
2020-08-10 12:44:23+00:00;Check out our new listing at https://t.co/5MLbLnBO3M #RealEstate #Toronto https://t.co/XVWOvGGgHC;Century21PercyFulton;0;0;0;0;en
2020-08-10 12:38:00+00:00;RT @blogTO: One of Toronto's oldest malls is about to be totally transformed https://t.co/CmIB5c2o04 #Toronto #TorontoMall https://t.co/g7y…;Janet Rosenberg;0;0;0;0;en
2020-08-10 12:35:57+00:00;"Impact of #pandemic on Toronto housing market.

‘It’s a 180-degree turn’: Toronto realtors see signs of a pandemic… https://t.co/Smx2ob0q2o";Jane Cronin;0;0;0;0;en
2020-08-10 12:31:42+00:00;"Time for @cityofhamilton to stop dragging its feet, shelve the NIMBY'ism &amp; Councillor opposition &amp; make this happen… https://t.co/U0sq71Em6J";Donna Bacher, Broker;0;0;0;3;en
2020-08-10 12:29:43+00:00;Toronto and GTA Market Update🔥 July 2020 has been the month where all that pent up demand for residential real esta… https://t.co/Utr02mV5yp;MayaGrozdanisRealtor;0;0;0;1;en
2020-08-10 12:16:47+00:00;Canada's largest housing market has come roaring back, as prices climbed to a new high in July after COVID-19 lockd… https://t.co/lygU4gL4uB;GreenFlow Financial;0;0;0;0;en
2020-08-10 12:02:08+00:00;The Greater Toronto Area’s housing market seems almost immune to the crippling economic effects of COVID-19 right n… https://t.co/1izyCMLj5k;David Lucas;0;0;0;0;en
2020-08-10 12:01:20+00:00;"GREATER TORONTO AREA HOUSING MARKET UPDATE

Want to know what these numbers mean for you? I have the answers. Give… https://t.co/LKPRi1snXS";TheRealtorKellyRyan;0;0;0;0;en
2020-08-10 11:44:28+00:00;This Week’s Top Stories: Toronto and Vancouver Real Estate See More Sales, and Delinquencies | Better Dwelling… https://t.co/dRmnbVodUq;Shawn Venasse;0;0;0;1;en
2020-08-10 11:23:53+00:00;"Interviews with 20+ top experts at the recent Toronto #RealEstate Summit 

Seven Things You Need to Know About Toro… https://t.co/qIThcrBdV0";Dustin Allan;0;0;0;0;en
2020-08-10 11:20:35+00:00;The Greater Toronto Area’s housing market seems almost immune to the crippling economic effects of COVID-19 right n… https://t.co/b9Krth0MtQ;Yovi Fermin;0;0;0;0;en
